year,wohngeld_rent_support,wohngeld_mortgage_support,wohngeld_total
2005,695231,85429,780660
2006,591285,74607,665892
2007,517679,62623,580302
2008,522416,61619,584035
2009,775609,84001,859610
2010,778395,78617,857012
2011,703259,67110,770369
2012,631022,59098,690120
2013,544276,50433,594709
2014,467833,42883,510716
2015,383274,35841,419115
2016,549973,45177,595150
2017,517715,42966,560681
2018,481113,38471,519584
2019,445335,33910,479245
2020,555085,38405,593485
2021,536730,35805,572535
2022,589655,41310,630965
2023,1064295,83800,1148095
2024,1086350,82665,1169015
